Title,Genre,Description
Two Weeks Notice,"Comedy, Romance","A lawyer decides that she's used too much like a nanny by her boss, so she walks out on him."
Tenacious D in the Pick of Destiny,"Adventure, Comedy, Music","To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Little Fockers,"Comedy, Romance","Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?"
Ponyo,"Animation, Adventure, Comedy","A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
Serendipity,"Comedy, Romance","A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together."
Oculus,"Horror, Mystery","A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon."
Bill & Ted's Excellent Adventure,"Adventure, Comedy, Music","Two rock-'n-rolling teens, on the verge of failing their class, are approached by a time machine that helps them make the ultimate history presentation."
The Queen,"Biography, Drama",After the death of
Get Hard,"Comedy, Crime","When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars."
Your Highness,"Adventure, Comedy, Fantasy","When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous."
Unleashed,"Action, Crime, Drama",A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.
Journey to the Center of the Earth,"Action, Adventure, Family","On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth."
Brick,"Action, Crime, Drama",A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend.
Fright Night,"Comedy, Horror","When a nice new neighbor moves in next door, Charley discovers that he is an ancient vampire who preys on the community. Can he save his neighborhood from the creature with the help of the famous ""vampire killer"", Peter Vincent?"
Flushed Away,"Animation, Action, Adventure","The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life."
PK,"Comedy, Drama, Sci-Fi",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
Beverly Hills Cop II,"Action, Comedy, Crime","Axel Foley returns to Beverly Hills to help Taggart and Rosewood investigate Chief Bogomil's near-fatal shooting and the series of ""alphabet crimes"" associated with it."
Lady and the Tramp,"Animation, Adventure, Comedy",The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
Under the Skin,"Drama, Horror, Mystery","A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery."
Rescue Dawn,"Adventure, Biography, War",A U.S. fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.
Bronson,"Action, Biography, Crime","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego,"
Stoker,"Drama, Thriller","After India's father dies, her Uncle Charlie, whom she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him."
Pompeii,"Action, Adventure, Drama","A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him."
Eraser,"Action, Crime, Thriller",A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.
The Other Boleyn Girl,"Biography, Drama, History",Two sisters contend for the affection of King Henry VIII.
Like Stars on Earth,"Drama, Family","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
The Raid 2,"Action, Crime, Thriller","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
Spy Kids,"Action, Adventure, Comedy","Using high tech gadgets, two kids have to save their reactivated OSS top spy parents when they're taken by an evil, high tech enemy."
Sex Tape,"Comedy, Romance","A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts."
Robin Hood,"Animation, Adventure, Comedy",The story of the legendary British outlaw is portrayed with the characters as humanoid animals.
Paul Blart: Mall Cop,"Action, Comedy, Crime","When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day."
The Ladykillers,"Comedy, Crime, Thriller","An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady."
"Good Night, and Good Luck.","Biography, Drama, History",Broadcast journalist
Wall Street: Money Never Sleeps,Drama,"Now out of prison but still disgraced by his peers, Gordon Gekko works his future son-in-law, an idealistic stock broker, when he sees an opportunity to take down a Wall Street enemy and rebuild his empire."
Reign Over Me,Drama,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.
Sweet Home Alabama,"Comedy, Romance",A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.
Final Destination 5,"Horror, Thriller",Death returns to claim the lucky survivors of a deadly bridge collapse in this fifth frightening installment in the series.
What Dreams May Come,"Drama, Fantasy, Romance","Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her."
Couples Retreat,Comedy,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional."
If I Stay,"Drama, Fantasy, Music","Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on."
United 93,"Action, Drama, History","A real-time account of the events on United Flight 93, one of the planes hijacked on September 11th, 2001 that crashed near Shanksville, Pennsylvania when passengers foiled the terrorist plot."
The Naked Gun 2½: The Smell of Fear,"Comedy, Crime",Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.
A Single Man,"Drama, Romance","An English professor, one year after the sudden death of his boyfriend, is unable to cope with his typical days in 1960s Los Angeles."
Only God Forgives,"Action, Crime, Drama","Julian, a drug-smuggler thriving in Bangkok's criminal underworld, sees his life get even more complicated when his mother compels him to find and kill whoever is responsible for his brother's recent death."
The Motorcycle Diaries,"Adventure, Biography, Drama",The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
Safe,"Action, Crime, Thriller","Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail."
Out of the Furnace,"Action, Crime, Drama","When Rodney Baze mysteriously disappears and law enforcement doesn't follow through fast enough, his older brother, Russell, takes matters into his own hands to find justice."
All About Eve,Drama,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
Just Like Heaven,"Comedy, Drama, Fantasy",A lonely landscape architect falls for the spirit of the beautiful woman who used to live in his new apartment.
My Cousin Vinny,"Comedy, Crime","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
Homefront,"Action, Crime, Thriller","A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord."
Welcome to the Jungle,"Action, Adventure, Comedy",A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.
Friday the 13th,"Horror, Mystery, Thriller","A group of camp counselors trying to reopen a summer camp called Crystal Lake, which has a grim past, are stalked by a mysterious killer."
Conan the Barbarian,"Action, Adventure, Fantasy",A vengeful barbarian warrior sets off to get his revenge on the evil warlord who attacked his village and murdered his father when he was a boy.
Maverick,"Action, Adventure, Comedy","Bret Maverick, needing money for a poker tournament, faces various comic mishaps and challenges, including a charming woman thief."
Poseidon,"Action, Adventure, Thriller","On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship."
The French Connection,"Action, Crime, Drama","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
Attack the Block,"Action, Adventure, Comedy",A teen gang in South London defend their block from an alien invasion.
The Full Monty,"Comedy, Drama","Six unemployed steel workers form a male striptease act. The women cheer them on to go for ""the full monty"" - total nudity."
The Iron Lady,"Biography, Drama",An elderly
Just Friends,"Comedy, Romance","While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer."
Paranormal Activity 2,"Horror, Mystery","After experiencing what they think are a series of ""break-ins"", a family sets up security cameras around their home, only to realize that the events unfolding before them are more sinister than they seem."
Lockout,"Action, Sci-Fi, Thriller",A man wrongly convicted of conspiracy to commit espionage against the U.S. is offered his freedom if he can rescue the President's daughter from an outer-space prison taken over by violent inmates.
Thunderball,"Action, Adventure, Thriller",James Bond heads to the Bahamas to recover two nuclear warheads stolen by S.P.E.C.T.R.E. Agent Emilio Largo in an international extortion scheme.
Before the Devil Knows You're Dead,"Crime, Drama, Thriller","When two brothers organize the robbery of their parents' jewelry store the job goes horribly wrong, triggering a series of events that sends them, their father and one brother's wife barreling towards a shattering climax."
Bedazzled,"Comedy, Fantasy","Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul."
Drive Angry,"Action, Fantasy, Thriller",A vengeful father escapes from hell and chases after the men who killed his daughter and kidnapped his granddaughter.
Frequency,"Crime, Drama, Mystery","An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences."
Nymphomaniac: Vol. I,Drama,A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.
Mortal Kombat,"Action, Adventure, Fantasy",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
The Name of the Rose,"Drama, History, Mystery",An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
The Danish Girl,"Biography, Drama, Romance",A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
Elite Squad,"Action, Crime, Drama","In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits."
Sphere,"Action, Mystery, Sci-Fi",A spaceship is discovered under three hundred years' worth of coral growth at the bottom of the ocean.
Caddyshack,"Comedy, Sport",An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.
Babylon A.D.,"Action, Adventure, Sci-Fi",Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.
Crimson Peak,"Drama, Horror, Mystery","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
Broken Flowers,"Comedy, Drama, Mystery","As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers."
Patriot Games,"Action, Thriller","When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge."
Shanghai Knights,"Action, Adventure, Comedy","When a Chinese rebel murders Chon's estranged father and escapes to England, Chon and Roy make their way to London with revenge on their minds."
Annabelle,"Horror, Mystery, Thriller",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.
Music and Lyrics,"Comedy, Music, Romance","A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words."
Extremely Loud & Incredibly Close,"Adventure, Drama, Mystery","A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001."
Willow,"Action, Adventure, Drama",A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.
Crimson Tide,"Action, Drama, Thriller","On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger happy Captain from launching his missiles before confirming his orders to do so."
The Omen,"Horror, Mystery",Mysterious deaths surround an American ambassador. Could the child that he is raising actually be the Antichrist? The Devil's own son?
Legion,"Action, Fantasy, Horror","When a group of strangers at a dusty roadside diner come under attack by demonic forces, their only chance for survival lies with an archangel named Michael, who informs a pregnant waitress that her unborn child is humanity's last hope."
The Amityville Horror,Horror,Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.
The Counsellor,"Crime, Drama, Thriller",A lawyer finds himself in over his head when he gets involved in drug trafficking.
The Dreamers,"Drama, Romance",A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
Little Nicky,"Comedy, Fantasy","After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late."
A Dangerous Method,"Biography, Drama, Romance",A look at how the intense relationship between Carl Jung and Sigmund Freud gives birth to psychoanalysis.
Faster,"Action, Crime, Drama",An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.
Patch Adams,"Biography, Comedy, Drama","The true story of a heroic man, Hunter ""Patch"" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."
The Wave,"Drama, Thriller",A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.
Never Back Down,"Action, Drama, Sport",A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.
The Basketball Diaries,"Biography, Crime, Drama",A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.
Dinner for Schmucks,Comedy,"After he finds out that his work superiors host a dinner celebrating the idiocy of their special guests, a rising executive questions the merits of his invitation just as he befriends a man who would be the perfect guest."
Not Another Teen Movie,Comedy,A sendup of all the teen movies that have accumulated in the past two decades.
The International,"Action, Crime, Drama",An Interpol agent attempts to expose a high-profile financial institution's role in an international arms dealing ring.
Incendies,"Drama, Mystery",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Hereafter,"Drama, Fantasy, Romance","A drama centered on three people - a blue-collar American, a French journalist and a London school boy - who are touched by death in different ways."
High Noon,"Drama, Thriller, Western","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at ""high noon"" when the gang leader, an outlaw he ""sent up"" years ago, arrives on the noon train."
Be Kind Rewind,Comedy,"Two bumbling store clerks inadvertently erase the footage from all of the tapes in their video rental store. In order to keep the business running, they re-shoot every film in the store with their own camera, with a budget of zero dollars."
The Cell,"Crime, Horror, Sci-Fi","An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim."
Marie Antoinette,"Biography, Drama, History","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 14 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles."
Iron Sky,"Action, Adventure, Comedy",The Nazis set up a secret base on the dark side of the moon in 1945 where they hide out and plan to return to power in 2018.
Bonnie and Clyde,"Action, Biography, Crime",Bored waitress
The American,"Action, Crime, Drama",An assassin hides out in Italy for one last assignment.
Splice,"Horror, Sci-Fi",Genetic engineers Clive Nicoli and Elsa Kast hope to achieve fame by successfully splicing together the DNA of different animals to create new hybrid animals for medical use.
Headhunters,"Action, Crime, Thriller",An accomplished headhunter risks everything to obtain a valuable painting owned by a former mercenary.
Dancer in the Dark,"Crime, Drama, Musical",An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
Julie & Julia,"Biography, Drama, Romance",Julia Child's story of her start in the cooking profession is intertwined with blogger Julie Powell's 2002 challenge to cook all the recipes in Child's first book.
Ghost in the Shell,"Animation, Action, Crime",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
The Cider House Rules,"Drama, Romance","A compassionate young man, raised in an orphanage and trained to be a doctor there, decides to leave to see the world."
Serpico,"Biography, Crime, Drama",An honest New York cop named
Cellular,"Action, Crime, Thriller","A young man receives an emergency phone call on his cell phone from an older woman. The catch? The woman claims to have been kidnapped, and the kidnappers have targeted her husband and child next."
Ali,"Biography, Drama, Sport",A biography of sports legend
The Treasure of the Sierra Madre,"Adventure, Drama, Western",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
Movie 43,Comedy,A series of interconnected short films follows a washed-up producer as he pitches insane story lines featuring some of the biggest stars in Hollywood.
Bride Wars,"Comedy, Romance",Two best friends become rivals when they schedule their respective weddings on the same day.
The Gift,"Drama, Mystery, Thriller","A married couple, Simon and Robyn, run into Gordo, an old classmate. Things take a turn when Gordo begins to drop in unannounced at their house and inundates them with mysterious gifts."
The Five-Year Engagement,"Comedy, Drama, Romance","One year after meeting, Tom proposes to his girlfriend, Violet, but unexpected events keep tripping them up as they look to walk down the aisle together."
Death Becomes Her,"Comedy, Fantasy, Horror","When a fading actress learns of an immortality treatment, she sees it as a way to outdo her long-time rival."
Vacancy,"Horror, Thriller","A married couple becomes stranded at an isolated motel and finds hidden video cameras in their room. They soon realize that unless they escape, they'll be the next victims of a snuff film."
Land of the Dead,"Horror, Sci-Fi, Thriller","The living dead have taken over the world, and the last humans live in a walled city to protect themselves as they come to grips with the situation."
Hot Shots!,"Action, Comedy",A parody of
Ruby Sparks,"Comedy, Drama, Fantasy","A novelist struggling with writer's block finds romance in a most unusual way: by creating a female character he thinks will love him, then willing her into existence."
Lady in the Water,"Drama, Fantasy, Mystery","Apartment building superintendent Cleveland Heep rescues what he thinks is a young woman from the pool he maintains. When he discovers that she is actually a character from a bedtime story who is trying to make the journey back to her home, he works with his tenants to protect his new friend from the creatures that are determined to keep her in our world."
Federico Fellini's 8½,Drama,A harried movie director retreats into his memories and fantasies.
Deliverance,"Adventure, Drama, Thriller","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
A Streetcar Named Desire,Drama,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
DragonHeart,"Action, Adventure, Fantasy","The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality."
Sense and Sensibility,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
A Prophet,"Crime, Drama",A young Algerian man is sent to a French prison.
Das Experiment,"Drama, Thriller","For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
The X Files: I Want to Believe,"Crime, Drama, Horror",Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.
Four Rooms,Comedy,Four interlocking tales that take place in a fading hotel on New Year's Eve.
The Lorax,"Animation, Adventure, Comedy","A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
30 Minutes or Less,"Action, Comedy, Crime","Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else..."
The Switch,"Comedy, Drama, Romance","Seven years after the fact, a man comes to the realization that he was the sperm donor for his best friend's boy."
Safe Haven,"Drama, Romance, Thriller","A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her."
U.S. Marshals,"Action, Crime, Thriller","U.S. Marshal Samuel Gerard and his team of Marshals are assigned to track down Sheridan, who has been accused of a double-murder."
Bad Grandpa,Comedy,"86-year-old Irving Zisman takes a trip from Nebraska to North Carolina to take his 8 year-old grandson, Billy, back to his real father."
The One,"Action, Sci-Fi, Thriller","A rogue Multiverse agent goes on a manhunt for alternate versions of himself, getting stronger with each kill. Only the last version of himself, an LASD cop, can stop his crusade before he becomes ""The One""."
Sahara,"Action, Adventure, Comedy","Master explorer Dirk Pitt goes on the adventure of a lifetime of seeking out a lost Civil War battleship known as the ""Ship of Death"" in the deserts of West Africa while helping a WHO doctor being hounded by a ruthless dictator."
Ran,"Action, Drama, War","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
The Painted Veil,"Drama, Romance","A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife."
Enter The Dragon,"Action, Crime, Drama",A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.
Boys Don't Cry,"Biography, Crime, Drama","A young man named Brandon Teena navigates love, life, and being transgender in rural Nebraska."
eXistenZ,"Horror, Mystery, Sci-Fi",A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.
Small Soldiers,"Action, Adventure, Comedy","When missile technology is used to enhance toy action figures, the toys soon begin to take their battle programming too seriously."
Broken Arrow,"Action, Adventure, Thriller",Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
Braindead,"Comedy, Fantasy, Horror","A young man's mother is bitten by a Sumatran rat-monkey. She gets sick and dies, at which time she comes back to life, killing and eating dogs, nurses, friends, and neighbors."
Tootsie,"Comedy, Drama, Romance","Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap."
Mr. Smith Goes to Washington,"Comedy, Drama","A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
I Love You Phillip Morris,"Biography, Comedy, Crime","A cop turns con man once he comes out of the closet. Once imprisoned, he meets the second love of his life, whom he'll stop at nothing to be with."
The Core,"Action, Adventure, Sci-Fi",The only way to save Earth from catastrophe is to drill down to the core and set it spinning again.
Paranormal Activity 3,"Horror, Mystery","In 1988, young sisters Katie and Kristi befriend an invisible entity who resides in their home Name Toby."
Born on the Fourth of July,"Biography, Drama, War",The biography of
Year One,Comedy,"After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom."
Naked Gun 33 1/3: The Final Insult,"Comedy, Crime",Frank Drebin (
Runaway Jury,"Crime, Drama, Thriller",A juror on the inside and a woman on the outside manipulate a court trial involving a major gun manufacturer.
The Lucky One,"Drama, Mystery, Romance",A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.
Volver,"Comedy, Drama","After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life."
That Awkward Moment,"Comedy, Romance","Three best friends find themselves where we've all been - at that confusing moment in every dating relationship when you have to decide ""So...where is this going?"""
Midnight Cowboy,Drama,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
The Walk,"Adventure, Biography, Drama","In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers."
Intolerable Cruelty,"Comedy, Crime, Romance",A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.
Jobs,"Biography, Drama",The story of
Waiting,Comedy,Young employees at Shenaniganz restaurant collectively stave off boredom and adulthood with their antics.
Colombiana,"Action, Drama, Thriller",A young girl in Bogotá witnesses her parents' murder and grows up to be a stone-cold assassin.
The Spy Who Loved Me,"Action, Adventure, Thriller","James Bond investigates the hijacking of British and Russian submarines carrying nuclear warheads, with the help of a K.G.B. agent whose lover he killed."
Me and Earl and the Dying Girl,"Comedy, Drama","High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
Patton,"Biography, Drama, War",The World War II phase of the career of controversial American general
The Box,"Drama, Mystery, Thriller","A small wooden box arrives on the doorstep of a married couple, who know that opening it will grant them a million dollars and kill someone they don't know."
Season of the Witch,"Action, Adventure, Fantasy","14th-century knights transport a suspected witch to a monastery, where monks deduce that her powers could be the source of the Black Plague."
Hellraiser,"Horror, Thriller","A woman discovers the newly resurrected, partially formed, body of her brother-in-law. She starts killing for him to revitalize his body so he can escape the demonic beings that are pursuing him after he escaped their sadistic underworld."
The Devil's Rejects,"Crime, Horror, Western","The murderous, backwoods Firefly family take to the road to escape the vengeful Sheriff Wydell, who is not afraid of being as ruthless as his target."
Skyline,"Action, Sci-Fi, Thriller","Strange lights descend on the city of Los Angeles, drawing people outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth."
Superman II,"Action, Adventure, Sci-Fi","Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth."
Super Troopers,"Comedy, Crime, Mystery","Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime."
Saw VI,"Horror, Mystery, Thriller","Agent Strahm is dead, and FBI agent Erickson draws nearer to Hoffman. Meanwhile, a pair of insurance executives find themselves in another game set by Jigsaw."
Conspiracy Theory,"Action, Mystery, Thriller","A taxi driver with a penchant for conspiracy theories becomes a target after one of these theories turns out to be true. Unfortunately, to save himself, he has to figure out which theory it is."
The Hurricane,"Biography, Drama, Sport",The story of
Elizabeth,"Biography, Drama, History",The early years of the reign of Elizabeth I of England and her difficult task of learning what is necessary to be a monarch.
Philomena,"Biography, Comedy, Drama","A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
Kiki's Delivery Service,"Animation, Adventure, Family","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
Jacob's Ladder,"Drama, Horror, Mystery","Mourning his dead child, a haunted Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death."
The Rite,"Drama, Horror, Mystery",American seminary student Michael Kovak travels to Italy to take an exorcism course.
Ghost Ship,Horror,"A salvage crew discovers a long-lost 1962 passenger ship floating lifeless in a remote region of the Bering Sea, and soon notices that its long-dead inhabitants may still be on board."
The Last Boy Scout,"Action, Comedy, Crime","A private detective's protected female witness is murdered, prompting him and the victim's boyfriend to investigate the crime that leads to a corrupt politician and a crooked football team owner."
Run All Night,"Action, Crime, Mystery","Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son."
Monsters,"Adventure, Drama, Romance","Six years after Earth has suffered an alien invasion, a cynical journalist agrees to escort a shaken American tourist through an infected zone in Mexico to the safety of the U.S. border."
Glengarry Glen Ross,"Crime, Drama, Mystery",An examination of the machinations behind the scenes at a real estate office.
Bean,"Adventure, Comedy, Family",The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.
Ride Along,"Action, Comedy, Crime","Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta."
In the Mood for Love,"Drama, Romance","Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Dreamcatcher,"Drama, Horror, Sci-Fi",Friends on a camping trip discover that the town they're vacationing in is being plagued in an unusual fashion by parasitic aliens from outer space.
